Dataset,Class,Accuracy,AUC
organamnist,0,0.8552123552123552,0.98799198856689
organamnist,1,0.8188775510204082,0.995196383837753
organamnist,2,0.8814627994955864,0.9969002394739664
organamnist,3,0.8343949044585988,0.9975484097798232
organamnist,4,0.7248062015503876,0.9588036620926582
organamnist,5,0.744529262086514,0.973622614433417
organamnist,6,0.9692541856925418,0.9981759629720998
organamnist,7,0.9656554092730395,0.9990342837826697
organamnist,8,0.9906232763375621,0.9998085304156621
organamnist,9,0.8736128236744759,0.9892822493023478
organamnist,10,0.804140127388535,0.9773922552729242
