Dataset,Class,Accuracy,AUC
organamnist,0,0.7741312741312741,0.9758132622784398
organamnist,1,0.8227040816326531,0.9868703660115337
organamnist,2,0.8562421185372006,0.9896962715785494
organamnist,3,0.7936305732484077,0.9899904831551096
organamnist,4,0.6400193798449613,0.9507738803496216
organamnist,5,0.6916030534351145,0.9545163101380978
organamnist,6,0.9515981735159817,0.9948061841852799
organamnist,7,0.9696622781911849,0.9965005016575461
organamnist,8,0.9542195256480971,0.9993525895812148
organamnist,9,0.8224414303329223,0.9792306492890374
organamnist,10,0.7123142250530785,0.9530553665379211
