Dataset,Class,Accuracy,AUC
organcmnist,0,0.8707729468599034,0.9891838900528079
organcmnist,1,0.8213457076566125,0.9868788064381052
organcmnist,2,0.8479809976247031,0.9901340618186637
organcmnist,3,0.8693586698337292,0.9832348831929841
organcmnist,4,0.7125171939477304,0.9673672693356952
organcmnist,5,0.7197278911564626,0.971181505619224
organcmnist,6,0.9678474114441417,0.9974085617767665
organcmnist,7,0.9672131147540983,0.9993832532346538
organcmnist,8,0.9820466786355476,0.995821674457222
organcmnist,9,0.9013333333333333,0.9927016697919456
organcmnist,10,0.8534303534303534,0.9842738567924673
