Dataset,Class,Accuracy,AUC
organcmnist,0,0.7596618357487923,0.9505280465253746
organcmnist,1,0.7053364269141531,0.976848511400501
organcmnist,2,0.8266033254156769,0.9801029650835925
organcmnist,3,0.7838479809976246,0.9817417523566327
organcmnist,4,0.687757909215956,0.961572801043548
organcmnist,5,0.6462585034013606,0.9542734564752248
organcmnist,6,0.9449591280653951,0.9944804633305535
organcmnist,7,0.9380692167577414,0.9958290005447613
organcmnist,8,0.9658886894075404,0.9958197991919012
organcmnist,9,0.9106666666666666,0.9853440485757657
organcmnist,10,0.7765072765072765,0.9760138789295116
