Dataset,Class,Accuracy,AUC
organsmnist,0,0.8532675709001233,0.9847440599688417
organsmnist,1,0.37813211845102507,0.9418828883435822
organsmnist,2,0.5820224719101124,0.9612399765146823
organsmnist,3,0.6980392156862745,0.9791646922084933
organsmnist,4,0.4786931818181818,0.9062026107125669
organsmnist,5,0.3924963924963925,0.8955645889503768
organsmnist,6,0.9302213666987488,0.9893585988784422
organsmnist,7,0.947103274559194,0.9987384625497877
organsmnist,8,0.8838268792710706,0.999126368833663
organsmnist,9,0.7066269545793,0.93519398842624
organsmnist,10,0.6993801652892562,0.9300190390761133
