Dataset,Class,Accuracy,AUC
organsmnist,0,0.8064118372379778,0.9744789090130467
organsmnist,1,0.5170842824601367,0.9521925236507734
organsmnist,2,0.34606741573033706,0.9413928723669499
organsmnist,3,0.5862745098039216,0.9625162966473111
organsmnist,4,0.2784090909090909,0.8964815115329088
organsmnist,5,0.4444444444444444,0.8892259558598384
organsmnist,6,0.9230028873917228,0.9869806042630491
organsmnist,7,0.8866498740554156,0.9928141368687456
organsmnist,8,0.8929384965831435,0.9977538690156129
organsmnist,9,0.746090841399851,0.9232660353007238
organsmnist,10,0.5144628099173554,0.8855269633488584
