,0
Total Train Samples,34561
Total Test Samples,17778
Train Samples Class 0,1956
Train Samples Class 1,1390
Train Samples Class 2,1357
Train Samples Class 3,1474
Train Samples Class 4,3963
Train Samples Class 5,3817
Train Samples Class 6,6164
Train Samples Class 7,3919
Train Samples Class 8,3929
Train Samples Class 9,3031
Train Samples Class 10,3561
Test Samples Class 0,1036
Test Samples Class 1,784
Test Samples Class 2,793
Test Samples Class 3,785
Test Samples Class 4,2064
Test Samples Class 5,1965
Test Samples Class 6,3285
Test Samples Class 7,1747
Test Samples Class 8,1813
Test Samples Class 9,1622
Test Samples Class 10,1884
