,0
Total Train Samples,12975
Total Test Samples,8216
Train Samples Class 0,1148
Train Samples Class 1,619
Train Samples Class 2,595
Train Samples Class 3,600
Train Samples Class 4,1088
Train Samples Class 5,1170
Train Samples Class 6,2986
Train Samples Class 7,1002
Train Samples Class 8,1022
Train Samples Class 9,1173
Train Samples Class 10,1572
Test Samples Class 0,828
Test Samples Class 1,431
Test Samples Class 2,421
Test Samples Class 3,421
Test Samples Class 4,727
Test Samples Class 5,735
Test Samples Class 6,1835
Test Samples Class 7,549
Test Samples Class 8,557
Test Samples Class 9,750
Test Samples Class 10,962
