,0
Total Train Samples,13932
Total Test Samples,8827
Train Samples Class 0,1148
Train Samples Class 1,630
Train Samples Class 2,614
Train Samples Class 3,721
Train Samples Class 4,1132
Train Samples Class 5,1119
Train Samples Class 6,3464
Train Samples Class 7,741
Train Samples Class 8,803
Train Samples Class 9,2004
Train Samples Class 10,1556
Test Samples Class 0,811
Test Samples Class 1,439
Test Samples Class 2,445
Test Samples Class 3,510
Test Samples Class 4,704
Test Samples Class 5,693
Test Samples Class 6,2078
Test Samples Class 7,397
Test Samples Class 8,439
Test Samples Class 9,1343
Test Samples Class 10,968
